Arial Character Width Table
======================================================================
Font Size: 12pt
----------------------------------------------------------------------
 Char  | ASCII  | Width (px) |  Relative to x 
  Y    |   89   |    9.34    |      1.33      
  Z    |   90   |    8.55    |      1.22      
  [    |   91   |    3.89    |      0.56      
  \    |   92   |    3.89    |      0.56      
  ]    |   93   |    3.89    |      0.56      
  ^    |   94   |    6.56    |      0.94      
  _    |   95   |    7.00    |      1.00      
  `    |   96   |    4.66    |      0.67      
  a    |   97   |    7.78    |      1.11      
  b    |   98   |    7.78    |      1.11      
  c    |   99   |    7.00    |      1.00      
  d    |  100   |    7.78    |      1.11      
  e    |  101   |    7.78    |      1.11      
  f    |  102   |    3.89    |      0.56      
  g    |  103   |    7.78    |      1.11      
  h    |  104   |    7.78    |      1.11      
  i    |  105   |    3.11    |      0.44      
  j    |  106   |    3.11    |      0.44      
  k    |  107   |    7.00    |      1.00      
  l    |  108   |    3.11    |      0.44      
  m    |  109   |   11.66    |      1.67      
  n    |  110   |    7.78    |      1.11      
  o    |  111   |    7.78    |      1.11      
  p    |  112   |    7.78    |      1.11      
  q    |  113   |    7.78    |      1.11      
  r    |  114   |    4.66    |      0.67      
  s    |  115   |    7.00    |      1.00      
  t    |  116   |    3.89    |      0.56      
  u    |  117   |    7.78    |      1.11      
  v    |  118   |    7.00    |      1.00      
  w    |  119   |   10.11    |      1.44      
  x    |  120   |    7.00    |      1.00      
  y    |  121   |    7.00    |      1.00      
  z    |  122   |    7.00    |      1.00      
  {    |  123   |    4.67    |      0.67      
  |    |  124   |    3.64    |      0.52      
  }    |  125   |    4.67    |      0.67      
  ~    |  126   |    8.17    |      1.17      


Font Size: 16pt
----------------------------------------------------------------------
 Char  | ASCII  | Width (px) |  Relative to x 
----------------------------------------------------------------------
       |   32   |    4.45    |      0.56      
  !    |   33   |    4.45    |      0.56      
  "    |   34   |    5.69    |      0.71      
  #    |   35   |    8.91    |      1.11      
  $    |   36   |    8.91    |      1.11      
  %    |   37   |   14.23    |      1.78      
  &    |   38   |   10.67    |      1.33      
  '    |   39   |    3.06    |      0.38      
  (    |   40   |    5.33    |      0.67      
  )    |   41   |    5.33    |      0.67      
  *    |   42   |    6.23    |      0.78      
  +    |   43   |    9.34    |      1.17      
  ,    |   44   |    4.45    |      0.56      
  -    |   45   |    5.33    |      0.67      
  .    |   46   |    4.45    |      0.56      
  /    |   47   |    4.45    |      0.56      
  0    |   48   |    8.91    |      1.11      
  1    |   49   |    8.91    |      1.11      
  2    |   50   |    8.91    |      1.11      
  3    |   51   |    8.91    |      1.11      
  4    |   52   |    8.91    |      1.11      
  5    |   53   |    8.91    |      1.11      
  6    |   54   |    8.91    |      1.11      
  7    |   55   |    8.91    |      1.11      
  8    |   56   |    8.91    |      1.11      
  9    |   57   |    8.91    |      1.11      
  :    |   58   |    4.45    |      0.56      
  ;    |   59   |    4.45    |      0.56      
  <    |   60   |    9.34    |      1.17      
  =    |   61   |    9.34    |      1.17      
  >    |   62   |    9.34    |      1.17      
  ?    |   63   |    8.91    |      1.11      
  @    |   64   |   16.25    |      2.03      
  A    |   65   |   10.67    |      1.33      
  B    |   66   |   10.67    |      1.33      
  C    |   67   |   11.56    |      1.45      
  D    |   68   |   11.56    |      1.45      
  E    |   69   |   10.67    |      1.33      
  F    |   70   |    9.78    |      1.22      
  G    |   71   |   12.45    |      1.56      
  H    |   72   |   11.56    |      1.45      
  I    |   73   |    4.45    |      0.56      
  J    |   74   |    8.00    |      1.00      
  K    |   75   |   10.67    |      1.33      
  L    |   76   |    8.91    |      1.11      
  M    |   77   |   13.33    |      1.67      
  N    |   78   |   11.56    |      1.45      
  O    |   79   |   12.45    |      1.56      
  P    |   80   |   10.67    |      1.33      
